name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN0480,DrkN,281.1815,-8.4476,0.440,1,480,
LDN0481,DrkN,276.4198,-5.9705,7.260,2,481,
LDN0482,DrkN,274.7907,-5.1117,0.014,5,482,
LDN0483,DrkN,274.4142,-4.8135,0.038,6,483,
LDN0484,DrkN,279.9268,-7.4536,1.870,2,484,
LDN0485,DrkN,279.1745,-6.9572,0.665,4,485,
LDN0486,DrkN,271.6554,-2.9935,1.530,3,486,
LDN0487,DrkN,274.2118,-4.3145,0.004,4,487,
LDN0488,DrkN,274.1614,-4.2314,0.004,4,488,
LDN0489,DrkN,277.1681,-5.6335,0.238,3,489,
LDN0491,DrkN,276.9173,-5.4681,0.262,3,490,
LDN0490,DrkN,273.7844,-3.8166,0.002,6,491,
LDN0492,DrkN,273.9094,-3.8159,0.008,6,492,
LDN0493,DrkN,273.1570,-3.3196,0.081,4,493,
LDN0494,DrkN,279.2470,-6.4569,0.011,4,494,
LDN0495,DrkN,279.7229,-6.6546,0.002,6,495,
LDN0496,DrkN,281.9282,-7.7774,1.240,2,496,109
LDN0497,DrkN,279.7978,-6.6209,0.027,6,497,103
LDN0498,DrkN,279.9979,-6.6533,0.004,5,498,
LDN0499,DrkN,280.1719,-6.4524,0.050,4,499,
LDN0500,DrkN,274.1569,-3.3147,0.004,5,500,
LDN0501,DrkN,274.4069,-3.3135,0.022,5,501,
LDN0502,DrkN,271.8748,-1.8591,0.005,6,502,
LDN0503,DrkN,277.2883,-4.6329,0.008,6,503,
LDN0504,DrkN,274.6561,-3.1457,0.002,5,504,
LDN0506,DrkN,281.9237,-6.8608,0.001,4,505,105
LDN0507,DrkN,273.7535,-2.6167,0.016,5,506,
LDN0505,DrkN,274.9065,-3.2278,0.007,5,507,
LDN0508,DrkN,272.3989,-1.6566,0.036,3,508,
LDN0509,DrkN,283.4257,-7.3036,0.003,6,509,118 117
LDN0510,DrkN,273.6517,-2.2338,0.050,5,510,
LDN0511,DrkN,276.4085,-3.6372,0.812,3,511,
LDN0512,DrkN,283.2998,-7.1042,0.066,3,512,116
LDN0513,DrkN,272.6484,-1.5554,0.127,6,513,
LDN0514,DrkN,283.2240,-6.9379,0.005,5,514,114
LDN0515,DrkN,279.4147,-4.9561,8.440,3,515,
LDN0516,DrkN,282.8474,-6.6064,0.027,4,516,
LDN0517,DrkN,281.2928,-5.6137,0.265,1,517,
LDN0518,DrkN,283.2973,-6.6042,0.003,5,518,115
LDN0519,DrkN,273.1464,-1.1529,0.138,4,519,
LDN0520,DrkN,275.4020,-2.3087,0.097,5,520,
LDN0521,DrkN,283.1190,-5.9051,0.014,5,521,
LDN0522,DrkN,282.9184,-5.7727,0.176,4,522,320
LDN0523,DrkN,282.2919,-5.4423,0.061,4,523,
LDN0524,DrkN,281.4146,-4.9465,0.590,1,524,
LDN0525,DrkN,279.6599,-3.9549,2.160,2,525,
LDN0526,DrkN,276.6520,-2.3027,0.905,3,526,
LDN0527,DrkN,281.6137,-4.7789,0.005,4,527,
LDN0528,DrkN,281.7887,-4.7780,0.267,3,528,
LDN0529,DrkN,281.4122,-4.4465,0.258,2,529,
LDN0530,DrkN,282.4137,-4.7751,0.124,6,530,107 106 110
LDN0531,DrkN,286.5230,-6.8391,0.005,6,531,133
LDN0532,DrkN,281.7867,-4.3614,0.016,5,532,104
LDN0533,DrkN,275.8972,-1.3063,0.022,4,533,
LDN0534,DrkN,283.1644,-4.9382,3.185,3,534,111 108 119A117A323 325
LDN0535,DrkN,279.2798,-2.8900,0.029,1,535,
LDN0536,DrkN,278.6531,-2.5430,0.253,3,536,
LDN0538,DrkN,279.1543,-2.7906,0.133,4,537,
LDN0537,DrkN,275.6456,-0.9742,0.534,1,538,
LDN0539,DrkN,275.9960,-1.0725,0.022,6,539,
LDN0540,DrkN,286.5211,-6.4224,0.113,3,540,
LDN0541,DrkN,279.0777,-2.4576,0.043,4,541,
LDN0542,DrkN,285.4173,-5.5942,0.075,3,542,130
LDN0543,DrkN,286.6699,-6.1717,0.007,6,543,134
LDN0544,DrkN,285.3915,-5.4277,0.007,5,544,127
LDN0545,DrkN,284.1885,-4.7667,0.006,5,545,122
LDN0546,DrkN,284.3885,-4.7657,0.007,4,546,
LDN0547,DrkN,282.6593,-3.8572,2.300,4,547,
LDN0548,DrkN,282.4085,-3.6917,1.000,5,548,113
LDN0549,DrkN,285.5407,-5.2603,0.006,5,549,129
LDN0550,DrkN,286.9179,-5.7539,3.110,1,550,
LDN0551,DrkN,284.4619,-4.4320,0.002,5,551,123
LDN0552,DrkN,286.0906,-5.2577,0.032,3,552,327
LDN0553,DrkN,285.7899,-5.0925,0.020,3,553,
LDN0554,DrkN,287.0175,-5.6701,0.029,3,554,
LDN0555,DrkN,280.3768,-2.2847,0.008,4,555,316
LDN0556,DrkN,284.7872,-4.5138,0.130,4,556,126
LDN0557,DrkN,279.6495,-1.7882,0.181,6,557,
LDN0558,DrkN,279.3987,-1.6228,0.432,3,558,
LDN0559,DrkN,278.1455,-0.9621,17.000,4,559,
LDN0560,DrkN,280.4002,-1.9513,0.043,3,560,
LDN0561,DrkN,284.4095,-3.9323,1.550,2,561,121 120 119
LDN0562,DrkN,285.6621,-4.5097,0.020,5,562,131
LDN0563,DrkN,279.8983,-1.5370,2.500,1,563,
LDN0565,DrkN,283.9076,-3.5180,1.370,2,564,
LDN0564,DrkN,279.3967,-1.2061,0.208,5,565,
LDN0566,DrkN,282.6541,-2.7739,0.050,5,566,
LDN0567,DrkN,286.0369,-4.4746,0.024,6,567,132 328
LDN0568,DrkN,284.8587,-3.7635,0.010,3,568,324
LDN0569,DrkN,274.6335,1.5210,31.000,2,569,
LDN0570,DrkN,276.6431,-0.4693,0.066,6,570,
LDN0572,DrkN,277.6407,0.0355,14.000,4,571,
LDN0571,DrkN,277.6407,0.0355,0.142,3,572,
LDN0573,DrkN,277.1427,-0.3836,0.026,3,573,
LDN0574,DrkN,286.7866,-4.4211,0.061,4,574,
LDN0575,DrkN,277.0189,-0.6342,0.078,3,575,
LDN0576,DrkN,277.8677,-0.3801,0.005,5,576,
LDN0577,DrkN,286.4093,-3.9229,0.784,3,577,
LDN0578,DrkN,277.7933,-0.4971,0.008,5,578,
LDN0579,DrkN,283.9025,-2.4347,1.710,3,579,
LDN0580,DrkN,287.1600,-4.0861,0.041,4,580,
LDN0581,DrkN,286.8593,-3.9208,0.072,6,581,136 135
LDN0582,DrkN,283.1501,-1.9382,0.283,5,582,
LDN0583,DrkN,278.3879,0.6224,0.084,5,583,
