hip,hr,ra_deg,dec_deg,mag,name,common_name_zh
2710,,8.612746,-6.50446,6.9,,
2711,140,8.618353,-52.372846,5.57,,
2753,,8.789906,36.83213,6.58,,
2762,142,8.814607,-3.593079,5.2,,天溷增二
2787,143,8.887722,-0.506005,5.94,,土公增十
2789,148,8.88916,-54.822199,6.04,,
2796,,8.904895,67.925965,6.92,,
2832,145,8.977466,13.205923,6.32,,
2843,,9.009173,-5.571414,6.72,,
2846,150,9.012724,-14.973414,6.45,,
2852,151,9.028077,-22.842656,6.06,,
2865,149,9.083873,27.254688,6.51,,
2876,146,9.113979,60.326205,5.78,,
2900,152,9.193175,44.488789,5.14,,
2903,155,9.197141,15.231634,5.89,,
2907,,9.208393,-76.309605,6.72,,
2912,154,9.220324,33.719322,4.34,,奎宿六
2920,153,9.243045,53.896852,3.69,Fulu,附路
2926,156,9.279826,24.013842,6.18,,
2941,159,9.346258,-24.767378,5.57,,
2942,157,9.338342,35.399477,5.45,,
2944,,9.348249,-37.288342,6.99,,
2948,,9.359871,40.33237,6.85,,
2954,161,9.377624,3.134966,6.43,,
3025,,9.632838,-20.296527,6.73,,
3031,163,9.637259,29.310128,4.34,,奎宿四
3042,169,9.668816,-73.137584,6.87,,
3070,,9.739628,26.323624,6.92,,
3083,164,9.791303,49.354571,5.45,,
3092,165,9.832841,30.860492,3.27,,奎宿五
3122,,9.931323,-11.151573,6.83,,
3132,158,9.941304,82.494253,6.38,,
3137,171,9.966843,-44.796185,6,,
3138,167,9.981744,21.438313,5.36,,奎宿增二
3142,170,9.993474,-33.962142,6.68,,
3170,176,10.118062,-59.451777,5.89,,
3175,172,10.119373,-16.516881,6.49,,
3179,168,10.127419,56.537126,2.24,Schedar,王良四
3185,173,10.141141,-23.807196,6.14,,
3188,,10.139041,-29.420808,6.75,,
3193,174,10.176453,-4.351933,5.9,,
3231,175,10.279816,39.458645,5.3,,奎宿增廿二
3236,,10.298681,9.354399,6.52,,
3240,,10.302578,52.197487,6.74,,
3245,180,10.331199,-46.085001,4.59,,火鸟七
3269,178,10.400912,24.62886,6.06,,
3299,177,10.514102,66.147541,5.83,,
3300,179,10.516355,50.512483,4.8,,阁道增二
3330,187,10.619054,-65.467766,5.38,,鸟喙五
3334,181,10.629706,58.753356,6.18,,
3352,186,10.678187,-60.263142,5.99,,
3371,,10.719571,16.661927,6.56,,
3405,191,10.838432,-57.462962,4.36,,水委三
3414,184,10.866728,47.024309,4.95,,阁道增一
3419,188,10.898943,-17.986395,2.04,Diphda,土司空
3436,190,10.958694,-12.013141,6.01,,
3438,,10.967778,33.310798,6.92,,
3455,194,11.04746,-10.610278,4.77,,天溷四
3456,195,11.052429,-38.420914,5.9,,
3459,,11.060341,-49.385895,6.86,,
3490,,11.147919,-78.082231,6.61,,
3504,193,11.181494,48.284315,4.48,,阁道六
3505,197,11.184527,-22.005616,5.22,,
3517,,11.227883,-63.196865,6.94,,
3521,198,11.236947,-42.677173,5.94,,
3527,202,11.252165,-53.714882,6.15,,
3544,196,11.321243,55.221362,5.41,,
3552,201,11.350762,-4.62892,6.15,,
3576,206,11.423861,-16.424259,6.47,,
3583,209,11.441713,-47.551483,5.8,,
3604,205,11.545215,44.861468,6.03,,
3637,,11.65513,-30.190956,6.81,,
3641,200,11.663462,69.325505,6.39,,
3675,213,11.756429,11.973625,5.51,,
3685,214,11.807509,19.578746,6.11,,奎宿增四
3693,215,11.83398,24.266655,4.08,,奎宿二
3719,,11.93829,26.291727,6.93,,
3721,208,11.942256,74.847535,5.42,,紫微左垣八
3730,217,11.979546,20.925439,6.51,,
3750,212,12.040941,72.674545,5.86,,
3765,222,12.100602,5.273324,5.74,96 G. Psc,
3781,236,12.150844,-74.923658,5.09,,
3786,224,12.171137,7.584757,4.44,,外屏一
3788,,12.172586,-28.495781,6.78,,
3801,223,12.208729,50.968104,4.9,,阁道五
3810,225,12.244602,16.939356,5.07,,奎宿增五
3823,,12.269421,14.809214,6.95,,
3849,227,12.357411,-13.56195,5.59,,
3881,226,12.453723,41.078796,4.53,,奎宿七
3885,230,12.472148,27.710221,5.55,,奎宿三
3889,,12.479133,-0.224193,6.64,,
3903,239,12.515815,-43.394859,6.49,,
3909,235,12.530169,-10.645786,5.17,,天溷增六
3949,242,12.67225,-50.986529,5.24,,
3951,233,12.682148,64.247471,5.35,,
3961,,12.718129,-71.151187,6.86,,
3964,,12.736689,77.953441,6.76,,
3988,237,12.818235,61.80548,6.04,,
3992,243,12.826492,3.384613,6.39,,
3995,,12.832645,-9.405486,6.89,,
4025,,12.895924,12.78463,6.7,,
4058,,12.987861,33.889841,6.87,,
4104,247,13.169531,-24.005629,5.47,,
4147,248,13.252101,-1.144364,4.78,,天溷增三
4164,251,13.302655,-24.77662,6.44,,
4185,249,13.367689,37.417924,6.07,,
4200,257,13.408851,-62.871345,5.73,,
4207,,13.422862,-4.525612,6.53,,
4212,250,13.449123,52.689158,6.27,,
4232,,13.497096,-48.791306,6.82,,
4267,254,13.646853,19.188368,5.8,,奎宿增六
4283,240,13.724837,83.70737,5.59,,
4291,,13.752062,-74.301625,6.68,,
4293,270,13.751447,-69.527364,5.45,,
4298,256,13.771453,48.678447,6.28,,
4311,,13.798781,-47.407103,6.73,,
4317,259,13.811301,24.556972,6.19,,
4346,263,13.926623,-7.347435,5.88,,
4360,,13.970876,-53.192875,6.61,,
4363,268,13.981481,-27.775873,6.11,,
4366,262,13.993645,27.209452,6.08,,奎宿增十
4371,267,14.006035,-11.266577,5.35,,天溷二
4383,260,14.054558,57.996454,6.2,,
4390,,14.061961,35.228572,6.93,,
4411,,14.127775,42.978726,6.53,,
4422,265,14.165117,59.180768,4.62,Castula,王良增五
4427,264,14.177551,60.716714,2.15,Cih,策
4436,269,14.189628,38.49958,3.86,,奎宿八
4439,,14.195102,-2.730164,6.99,,
4446,261,14.231498,68.775436,6.39,,
4463,271,14.301363,23.417353,4.4,,奎宿一
4496,,14.407432,-18.99859,6.92,,
4500,,14.415295,1.785685,6.97,,
4501,272,14.415292,45.839336,6.1,,
4510,274,14.459005,28.992165,5.44,,奎宿增十一
4520,276,14.477093,13.695828,6.3,,
4552,275,14.559518,33.950425,5.99,,
4558,277,14.578651,21.404472,6.47,,
4563,281,14.593169,-60.696087,6.23,,
4572,273,14.630117,66.351709,5.97,,
4577,280,14.651668,-29.35741,4.3,,
4592,,14.690632,-5.883336,6.57,,
4655,284,14.957156,6.483191,6.14,,
4675,282,15.014962,44.713082,5.69,,
4709,278,15.130689,70.982946,6.4,,
4719,,15.147483,-36.238272,6.99,,
4726,,15.16839,-1.658751,6.85,,
4770,288,15.326699,-38.916208,5.59,,
4786,,15.362726,49.544201,6.48,,
4801,,15.411499,-16.266159,6.47,,
4809,,15.432549,25.292138,6.71,,
4829,295,15.507663,-57.002283,6.12,,
4844,287,15.576895,51.034852,6.48,,
4852,293,15.610746,-31.551909,5.5,,
4868,,15.648974,27.748004,6.88,,
4878,,15.678105,9.132804,6.83,,
4879,304,15.678909,-65.45608,6.25,,
4889,291,15.704688,31.804069,5.5,,奎宿增十五
4903,290,15.72595,41.345047,5.95,,奎宿增廿
4906,294,15.735349,7.890301,4.27,,外屏二
4911,289,15.757267,47.37606,6.46,,
4914,296,15.759816,-4.837258,5.4,,天溷增四
4979,301,15.955066,1.366586,6.06,,外屏增十
4998,298,16.009972,52.501772,5.99,,
5026,,16.100383,-47.940258,6.84,,
5034,303,16.115737,29.658037,6.2,,
5042,,16.1354,-33.532995,6.44,,
5045,305,16.152566,39.990969,6.77,,
5070,,16.20843,74.37212,6.82,,
5081,308,16.27236,14.946474,5.64,,外屏增一
5131,310,16.420951,21.47309,5.33,,奎宿十六
5141,313,16.455196,4.90761,6.35,,外屏增五
5165,322,16.520375,-46.71821,3.32,,火鸟九
5170,320,16.531812,-23.992665,6.12,,
5186,309,16.596501,62.761181,6.52,,
5193,323,16.611281,-35.660776,6.61,,
5198,,16.615538,-39.856152,6.64,,
5204,319,16.640202,12.956213,6.14,,外屏增二
5232,,16.725067,59.858521,6.87,,
5240,316,16.751824,56.934278,6.41,,
5251,318,16.789589,53.498164,6.31,,
5268,332,16.828761,-61.775359,5.36,,
5300,331,16.949697,-41.486866,5.21,,
5317,324,17.004965,43.941701,5.04,,奎宿增十九
5339,,17.063602,28.867371,6.86,,
5346,330,17.090899,5.648762,5.51,,外屏增四
5348,338,17.096411,-55.245572,3.94,Wurren,水委二
5361,326,17.139653,58.263371,5.77,,
5364,334,17.148865,-10.183148,3.46,,天仓二
5372,285,17.183998,86.25712,4.24,,勾陈五
5414,,17.304501,69.686521,6.93,,
5434,335,17.375559,47.24171,4.26,,军南门
5444,,17.413175,23.794098,6.65,,
5447,337,17.434394,35.61984,2.07,Mirach,奎宿九
5454,339,17.454977,19.658468,5.57,,奎宿增七
5477,350,17.53069,-57.695154,6.41,,
5485,346,17.549652,-8.906386,6.4,,天仓增十一
5493,340,17.576916,42.081209,5.67,,奎宿增十八
5494,341,17.581067,25.457037,5.81,,
5510,347,17.639746,2.445568,5.97,,外屏增十二
5512,,17.643043,51.013447,6.9,,
5531,,17.715667,67.780243,6.55,,
5542,343,17.778209,55.149778,4.34,,阁道四
5544,349,17.778132,31.424659,5.15,,奎宿增十三
5550,348,17.792697,37.724077,5.8,,奎宿增十六
5551,,17.794017,46.18369,6.6,,
5566,342,17.857149,64.202556,5.56,,
5571,351,17.863702,21.034582,4.66,,奎宿十五
5575,,17.870789,10.291869,6.49,,
5586,352,17.915702,30.089398,4.51,,奎宿十一
5594,353,17.930917,-2.251221,5.93,,天仓增四
5626,333,18.073504,79.673931,5.6,,五帝内座增二
5631,,18.079224,12.281492,6.89,,
5636,358,18.097483,-30.802562,6.54,,
5661,359,18.190023,-37.856675,5.95,,
5665,,18.194768,-35.205653,6.97,,
5666,,18.198344,-6.783473,6.59,,天仓增十
5688,354,18.291448,61.706149,6.4,,
5694,,18.31751,34.098374,6.73,,
5737,361,18.43377,7.574998,5.21,Revati,外屏三
5742,360,18.437411,24.583577,4.67,,奎宿十四
5764,,18.505245,-13.475065,6.88,,
5772,363,18.520905,28.529231,6.33,,
5778,364,18.531587,16.133312,5.97,,
5799,366,18.600963,-7.921052,5.14,,天仓增九
5824,367,18.676544,6.994979,6.04,,外屏增三
5833,368,18.704791,-0.972482,5.7,,天仓增三
5862,370,18.802397,-45.530526,4.97,,
5878,,18.867704,20.414378,6.99,,
5886,,18.898802,0.912472,6.71,,
5896,377,18.949624,-68.875115,4.25,,
5914,,19.020917,25.769351,6.76,,
5926,365,19.049546,71.743836,5.87,,华盖三
5927,,19.049702,-42.009854,6.58,,
5936,371,19.079054,33.114492,6.04,,
5942,,19.115618,23.589399,6.69,,
5944,,19.120906,42.939224,6.59,,
5951,373,19.150556,-2.500777,5.42,,天仓增六
5992,380,19.266507,-66.397758,6.23,,
5993,372,19.271205,44.901735,6.11,,
6010,,19.319053,39.480519,6.69,,
6025,374,19.350134,31.744639,6.36,,
6039,,19.396378,-65.21175,6.92,,
6057,,19.439576,56.631489,6.68,,
6060,,19.450159,49.008363,6.99,,
6061,378,19.449507,3.614323,5.13,,外屏增十四
6087,376,19.542358,47.419678,6.29,,
6133,,19.676667,72.877804,6.99,,
6137,,19.684028,-43.332882,6.78,,
6193,383,19.866835,27.263984,4.74,,奎宿十三
6198,,19.871088,80.894261,6.7,,
6226,385,19.951264,-0.509118,5.87,,天仓增二
6234,,19.991086,-15.814929,6.7,,
6237,,20.012635,-9.884272,6.65,,
6241,,20.02055,41.970157,6.95,,
6242,382,20.020468,58.231597,4.95,,阁道增三
6261,375,20.08029,77.571251,6.31,,
6271,,20.118491,-57.337949,7,,
6272,388,20.115535,-11.239484,6.16,,
6283,387,20.144038,-3.246962,6.26,,
6288,,20.169634,-13.889931,6.84,,
6312,384,20.272836,64.657979,6.33,,
